Assertion	Heuristic	Prediction	Actual
(isa VanNuysLosAngeles AssigningAgentToRole)	CateMembMine	0	-1
(isa BankOfCreditAndCommerceInternational Situation)	CateMembMine	1	-1
(genls VanNuysLosAngeles CommunitiesRegionsAndLanguageAreasOfBelgium)	CateMembMine	0	-1
(genls Jackhammer CuttingSomething-CreationEvent)	CateMembMine	0	-1
(status CodeOfVengeance Canceling-Declaring-Evaluating)	DBPediAligMine	1	-1
(isa ArthurFBurns UnitedStatesPerson)	CateMembMine	1	-1
(isa NabilElderkin ChiefInformationOfficer)	FirsSentParsMine	1	-1
(isa BankOfCreditAndCommerceInternational MajorBugzillaBugReport)	FirsSentParsMine	1	-1
(genls Asteroid-impactAvoidance Asteroid)	CateMembMine	0	-1
(genls SalMaccarone Writer)	CateMembMine	0	-1
(location BankOfCreditAndCommerceInternational LondonPostalDistrict)	InfoRelaMine	1	-1
(isa ArthurFBurns Cross-FixedStructure)	CateMembMine	0	-1
(genls Ester ChemicalCompoundTypeByChemicalSpecies)	FirsSentParsMine	0	0
(isa GordonACraig AcademicProfessional)	CateMembMine	1	1
(isa Asteroid-impactAvoidance Objecting-CommunicationAct)	FirsSentParsMine	0	-1
(isa CodeOfVengeance ConvergentSeries)	CateMembMine	0	-1
(isa BrianFlemming University)	CateMembMine	0	-1
(genls Jackhammer CuttingSomething)	CateMembMine	0	-1
(location BankOfCreditAndCommerceInternational CityOfLondonEngland)	InfoRelaMine	1	-1
(isa BankOfCreditAndCommerceInternational Scandal)	CateMembMine	1	-1
(isa CodeOfVengeance TVSeriesProduct)	CateMembMine	1	-1
(isa PeterPek Professional)	FirsSentParsMine	1	-1
(genls AirMass-Astronomy (HistoryFn Astronomy))	CateMembMine	0	-1
(lowerAge YsgolBrynAlyn '7)	DBPediAligMine	1	-1
(utcOffset RockwoodTennessee (YearFn '4))	DBPediAligMine	1	-1
(established YsgolBrynAlyn '1958)	InfoRelaMine	1	-1
(birthPlace NabilElderkin Illinois-State)	InfoRelaMine	1	-1
(genls TrenchRailways Conveyance)	CateMembMine	1	-1
(isa Tongue-twister NLPhrase)	FirsSentParsMine	0	-1
(genls VanNuysLosAngeles PopulatedPlace)	CateMembMine	0	-1
(isa PeterPek RadioPersonality)	CateMembMine	1	1
(genls Doom-TheGame BigThreeTelevisionNetworks)	CateMembMine	0	-1
(genls GordonACraig PresidentOfOrganization)	CateMembMine	0	-1
(isa CodeOfVengeance EntertainmentPerformance)	CateMembMine	0	-1
(genls GaloisModule GaloisTheory)	CateMembMine	1	1
(profession ArthurFBurns Economist)	InfoRelaMine	1	-1
(genls NabilElderkin VideoCassetteRecording)	FirsSentParsMine	0	-1
(genls MagicWand Insignia)	CateMembMine	0	0
(genls NabilElderkin KVMSwitch)	FirsSentParsMine	0	-1
(genls Jackhammer (InstanceNamedFn-Ternary "construction equipment" ExistingObjectType "fd7c667c-17ba-41d9-857f-d3f44941db7d"))	CateMembMine	0	0
(genls PrincessJohannaOfHesseAndByRhine (SubcollectionOfWithRelationFromTypeFn Animal children Animal))	FirsSentParsMine	0	-1
(genls NabilElderkin VideoCassette)	FirsSentParsMine	0	-1
(genls PeterPek CreativeDirector)	FirsSentParsMine	0	-1
(director Doom-TheGame TomHall)	InfoRelaMine	1	-1
(genls TrenchRailways Railway)	CateMembMine	1	0
(isa GaloisModule GaloisTheory)	CateMembMine	0	-1
(isa YsgolBrynAlyn (CollectionIntersection2Fn Herd (GroupFn Fish)))	CateMembMine	1	-1
(title Doom-TheGame Doom-TheGame)	InfoRelaMine	1	-1
(genls Doom-TheGame First-personShooter)	FirsSentParsMine	0	-1
(isa PrincessJohannaOfHesseAndByRhine Animal)	null	1	-1
(isa GordonACraig Cross-FixedStructure)	CateMembMine	0	-1
(genls Asteroid-impactAvoidance Defenceman)	FirsSentParsMine	1	-1
(genls PeterPek Professional)	FirsSentParsMine	0	-1
(isa InfantrySupportGun ArtilleryGame)	FirsSentParsMine	0	-1
(elevation RockwoodTennessee '272.0)	DBPediAligMine	1	-1
(genls PrincessJohannaOfHesseAndByRhine Daughter)	FirsSentParsMine	0	-1
(country ArthurFBurns (TerritoryFn Germany))	InfoRelaMine	1	-1
(genls SalMaccarone Sculpture)	FirsSentParsMine	0	-1
(isa VanNuysLosAngeles Neighborhood)	CateMembMine	1	1
(designer Doom-TheGame SandyPetersen)	DBPediAligMine	1	-1
(genls Asteroid-impactAvoidance Soil-Generic)	CateMembMine	0	-1
(genls PrincessJohannaOfHesseAndByRhine Duke)	FirsSentParsMine	0	-1
(isa DifferentialEquation Equation-MathematicalStatement)	FirsSentParsMine	0	-1
(genls Asteroid-impactAvoidance Objecting-CommunicationAct)	FirsSentParsMine	0	-1
(genls SocialCriticism CulturalStudies)	CateMembMine	0	0
(areaCode VanNuysLosAngeles (YearFn '747))	DBPediAligMine	1	-1
(genls AirMass-Astronomy HorseLength)	FirsSentParsMine	1	-1
(isa ArthurFBurns Chairman-HeadOfState)	CateMembMine	1	-1
(isa AirMass-Astronomy ObservationalAstronomy)	CateMembMine	0	-1
(isa Ester ChemicalCompoundTypeByChemicalSpecies)	FirsSentParsMine	0	-1
(isa BrianFlemming Person)	CateMembMine	1	-1
(event Armageddon-2007 Armageddon-2007)	InfoRelaMine	1	-1
(deathDate ArthurFBurns (MonthFn June (YearFn '6)))	InfoRelaMine	1	-1
(nextEvent Armageddon-2007 Armageddon-2007)	InfoRelaMine	1	-1
(isa MagicWand (PortableFn (DeadPhysicalRemainsFn TreeBranch)))	FirsSentParsMine	0	-1
(series Doom-TheGame Doom-TheGameSeries)	InfoRelaMine	1	-1
(genls CodeOfVengeance TVSeriesProduct)	CateMembMine	0	-1
(isa 2-satisfiability NL-complete)	CateMembMine	0	-1
(location BankOfCreditAndCommerceInternational Luxembourg)	DBPediAligMine	1	-1
